"FUNCAO","STATUS","Dialect","30","40","55","56","57","80","84"
"MEMBER OF","OK","OK","N","N","N","N","N","S","S"
"MICROSECOND","OK","NOK","S","S","S","S","S","S","N"
"MID","OK","OK","S","S","S","S","S","S","S"
"MIN","OK","NOK","S","S","S","S","S","S","N"
"MINUTE","OK","OK","S","S","S","S","S","S","S"
"MOD","OK","NOK","S","S","S","S","S","S","N"
"MONTH","OK","OK","S","S","S","S","S","S","S"
"MONTHNAME","OK","NOK","S","S","S","S","S","S","N"
"NAME_CONST","OK","NOK","S","S","S","S","S","S","N"
"NOT EXISTS","OK","OK","N","N","N","S","S","S","S"
"NOW","OK","OK","S","S","S","S","S","S","S"
"NTH_VALUE","OK","NOK","N","N","N","N","N","S","N"
"NTILE","OK","NOK","N","N","N","N","N","S","S"
"NULLIF","OK","NOK","S","S","S","S","S","S","N"
"OCT","OK","OK","S","S","S","S","S","S","S"
"OCTET_LENGTH","OK","NOK","S","S","S","S","S","S","N"
"ORD","OK","NOK","S","S","S","S","S","S","N"
"PERCENT_RANK","OK","NOK","N","N","N","N","N","S","S"
"PERIOD_ADD","OK","NOK","S","S","S","S","S","S","N"
"PERIOD_DIFF","OK","OK","S","S","S","S","S","S","S"
"PI","OK","NOK","S","S","S","S","S","S","N"
"POSITION","OK","OK","S","S","S","S","S","S","S"
"POW","OK","NOK","S","S","S","S","S","S","N"
"POWER","OK","OK","S","S","S","S","S","S","S"
"QUARTER","OK","NOK","S","S","S","S","S","S","N"
"QUOTE","OK","OK","S","S","S","S","S","S","S"
"RADIANS","OK","NOK","S","S","S","S","S","S","N"
"RAND","OK","OK","S","S","S","S","S","S","S"
"RANDOM_BYTES","OK","OK","N","N","N","S","S","S","N"
"RANK","OK","NOK","N","N","N","N","N","S","S"
"REGEXP_INSTR","OK","OK","N","N","N","N","N","S","S"
"REGEXP_LIKE","OK","OK","N","N","N","N","N","S","N"
"REGEXP_REPLACE","OK","OK","N","N","N","N","N","S","S"
"REGEXP_SUBSTR","OK","OK","N","N","N","N","N","S","N"
"REPEAT","OK","OK","S","S","S","S","S","S","S"
"REPLACE","OK","NOK","S","S","S","S","S","S","N"
"REVERSE","OK","OK","S","S","S","S","S","S","S"
"RIGHT","OK","NOK","S","S","S","S","S","S","N"
"ROUND","OK","OK","S","S","S","S","S","S","S"
"ROW_COUNT","OK","NOK","S","S","S","S","S","S","N"
"ROW_NUMBER","OK","NOK","N","N","N","N","N","S","S"
"RPAD","OK","NOK","S","S","S","S","S","S","N"
"RTRIM","OK","OK","S","S","S","S","S","S","S"
"SCHEMA","OK","NOK","S","S","S","S","S","S","N"
"SEC_TO_TIME","OK","OK","S","S","S","S","S","S","S"
"SECOND","OK","NOK","S","S","S","S","S","S","N"
"SESSION_USER","OK","OK","S","S","S","S","S","S","S"
"SHA","OK","NOK","S","S","S","N","N","N","N"
"SHA1","OK","NOK","S","S","S","S","S","S","N"
"SHA2","OK","OK","S","S","S","S","S","S","S"
"SIGN","OK","NOK","S","S","S","S","S","S","N"
"SIN","OK","OK","S","S","S","S","S","S","S"
"SLEEP","OK","OK","S","S","S","S","S","S","N"
"SOUNDEX","OK","OK","S","S","S","S","S","S","S"
"SPACE","OK","NOK","S","S","S","S","S","S","N"
"SQRT","OK","OK","S","S","S","S","S","S","S"
"STD","OK","OK","S","S","S","S","S","S","N"
"STDDEV","OK","OK","S","S","S","S","S","S","S"
"STDDEV_POP","OK","OK","S","S","S","S","S","S","N"
"STDDEV_SAMP","OK","OK","S","S","S","S","S","S","S"
"STR_TO_DATE","OK","NOK","S","S","S","S","S","S","N"
"STRCMP","OK","OK","S","S","S","S","S","S","S"
"SUBDATE","OK","NOK","S","S","S","S","S","S","N"
"SUBSTR","OK","OK","S","S","S","S","S","S","S"
"SUBSTRING","OK","NOK","S","S","S","S","S","S","N"
"SUBSTRING_INDEX","OK","OK","S","S","S","S","S","S","S"
"SUBTIME","OK","NOK","S","S","S","S","S","S","N"
"SUM","OK","OK","S","S","S","S","S","S","S"
"SYSDATE","OK","NOK","S","S","S","S","S","S","N"
"SYSTEM_USER","OK","OK","S","S","S","S","S","S","S"
"TAN","OK","NOK","S","S","S","S","S","S","N"
"TIME","OK","OK","S","S","S","S","S","S","S"
"TIME_FORMAT","OK","NOK","S","S","S","S","S","S","N"
"TIME_TO_SEC","OK","OK","S","S","S","S","S","S","S"
"TIMEDIFF","OK","NOK","S","S","S","S","S","S","N"
"TIMESTAMP","OK","OK","S","S","S","S","S","S","S"
"TIMESTAMPADD","OK","NOK","S","S","S","S","S","S","N"
"TIMESTAMPDIFF","OK","OK","S","S","S","S","S","S","S"
"TO_BASE64","OK","NOK","N","N","N","S","S","S","N"
"TO_DAYS","OK","OK","S","S","S","S","S","S","S"
"TO_SECONDS","OK","NOK","S","S","S","S","S","S","N"
"TRIM","OK","OK","S","S","S","S","S","S","S"
"TRUNCATE","OK","NOK","S","S","S","S","S","S","N"
"UCASE","OK","OK","S","S","S","S","S","S","S"
"UNCOMPRESS","OK","OK","S","S","S","S","S","S","N"
"UNCOMPRESSED_LENGTH","OK","OK","S","S","S","S","S","S","S"
"UNHEX","OK","OK","S","S","S","S","S","S","N"
"UNIX_TIMESTAMP","OK","OK","S","S","S","S","S","S","S"
"UPDATEXML","OK","OK","S","S","S","S","S","S","N"
"UPPER","OK","OK","S","S","S","S","S","S","S"
"USER","OK","NOK","S","S","S","S","S","S","N"
"UTC_DATE","OK","OK","S","S","S","S","S","S","S"
"UTC_TIME","OK","NOK","S","S","S","S","S","S","N"
"UTC_TIMESTAMP","OK","OK","S","S","S","S","S","S","S"
"UUID","OK","NOK","S","S","S","S","S","S","N"
"UUID_SHORT","OK","OK","S","S","S","S","S","S","S"
"UUID_TO_BIN","OK","NOK","N","N","N","N","N","S","N"
"VALUES","OK","NOK","S","S","S","S","S","S","N"
"VAR_POP","OK","OK","S","S","S","S","S","S","S"
"VAR_SAMP","OK","NOK","S","S","S","S","S","S","N"
"VARIANCE","OK","OK","S","S","S","S","S","S","S"
"VERSION","OK","NOK","S","S","S","S","S","S","N"
"WEEK","OK","NOK","S","S","S","S","S","S","N"
"WEEKDAY","OK","OK","S","S","S","S","S","S","S"
"WEEKOFYEAR","OK","NOK","S","S","S","S","S","S","N"
"WITHIN","OK","NOK","N","N","N","S","S","N","N"
"YEAR","OK","OK","S","S","S","S","S","S","S"
"YEARWEEK","OK","NOK","S","S","S","S","S","S","N"
